Address,Comment,ErrorMessage
X0.O,无杆气缸SET,装置输入错误!
X0.1,[PCB上料]无杆气缸RST,此装置已使用
X0.2,[PCB上料]前推气缸SET,此装置已使用
X0.3,[PCB上料]前推气缸RST ,此装置已使用
X0.4,[PCB上料]光纤 ,此装置已使用
X0.5, ,此装置已使用
X0.6, ,此装置已使用
X0.7, ,此装置已使用
X0.8, ,此装置已使用
X0.9, ,此装置已使用
X0.10, ,此装置已使用
X0.11, ,此装置已使用
X0.12, ,此装置已使用
X0.13, ,此装置已使用
X0.14, ,此装置已使用
X0.15, ,此装置已使用
X1.0,上顶气缸RST,此装置已使用
X1.1,负压表,此装置已使用
X1.2,漫反射传感器,此装置已使用
X1.3,上顶气缸RST,此装置已使用
X1.4,负压表,此装置已使用
X1.5,漫反射传感器,此装置已使用
X1.6,上顶气缸RST,此装置已使用
X1.7,负压表,此装置已使用
X1.8,漫反射传感器,此装置已使用
X1.9,上顶气缸RST,此装置已使用
X1.10,负压表,此装置已使用
X1.11,漫反射传感器,此装置已使用
X1.12,上顶气缸RST,此装置已使用
X1.13,负压表,此装置已使用
X1.14,漫反射传感器,此装置已使用
X1.15,上顶气缸RST,此装置已使用
X2.0,负压表,此装置已使用
X2.1,漫反射传感器,此装置已使用
X2.2,上顶气缸RST,此装置已使用
X2.3,负压表,此装置已使用
X2.4,下压气缸SET,此装置已使用
X2.5,下压气缸RST,此装置已使用
X2.6,无杆气缸SET,此装置已使用
X2.7,无杆气缸RST,此装置已使用
X2.8,无杆气缸SET,此装置已使用
X2.9,无杆气缸RST,此装置已使用
X2.10,光纤,此装置已使用
X2.11,漫反射传感器,此装置已使用
X2.12,笼子接近开关1,此装置已使用
X2.13,笼子接近开关2,此装置已使用
X2.14,无杆气缸SET,此装置已使用
X2.15,无杆气缸RST,此装置已使用
X3.0,推入到位接近开关1,此装置已使用
X3.1,推入到位接近开关2,此装置已使用
X3.2,光纤1,此装置已使用
X3.3,光纤2,此装置已使用
X3.4,漫反射传感器1,此装置已使用
X3.5,,此装置已使用
X3.6,无杆气缸SET,此装置已使用
X3.7,无杆气缸RST,此装置已使用
X3.8,气缸RST,此装置已使用
X3.9,光纤1,此装置已使用
X3.10,光纤2,此装置已使用
X3.11,漫反射传感器1,此装置已使用
X3.12,漫反射传感器2,此装置已使用
X3.13,负压表,此装置已使用
X3.14,前门1,此装置已使用
X3.15,前门2,此装置已使用
X4.0,左门1,此装置已使用
X4.1,左门2,此装置已使用
X4.2,后门1,此装置已使用
X4.3,后门2,此装置已使用
X4.4,右门1,此装置已使用
X4.5,右门2,此装置已使用
X4.6,急停按钮,此装置已使用
X4.7,启动按钮,此装置已使用
X4.8,停止按钮,此装置已使用
X4.9,复位按钮,此装置已使用
X4.10,,此装置已使用
X4.11,,此装置已使用
X4.12,,此装置已使用
X4.13,,此装置已使用
X4.14,,此装置已使用
X4.15,,此装置已使用
