AS_Device,Comment
X0.0,"[PCB上料]无杆气缸SET"
X0.1,"[PCB上料]无杆气缸RST"
X0.2,"[PCB上料]前推气缸SET"
X0.3,"[PCB上料]前推气缸RST"
X0.4,"[PCB上料]光纤"
X0.5,"[PCB上料]漫反射传感器"
X0.6,"[PCB上料]笼子接近开关1"
X0.7,"[PCB上料]笼子接近开关2"
X0.8,"[滚压工位]下压气缸1SET"
X0.9,"[滚压工位]下压气缸2SET"
X0.10,"[滚压工位]下压气缸1RST"
X0.11,"[滚压工位]下压气缸2RST"
X0.12,"[检测正反]漫反射传感器"
X0.13,"[检测正反]上顶气缸RST"
X0.14,"[检测正反]负压表"
X0.15,"[贴膜]漫反射传感器"
X1.0,"[贴膜]上顶气缸RST"
X1.1,"[贴膜]负压表"
X1.2,"[压合]漫反射传感器"
X1.3,"[压合]上顶气缸RST"
X1.4,"[压合]负压表"
X1.5,"[撕膜]漫反射传感器"
X1.6,"[撕膜]上顶气缸RST"
X1.7,"[撕膜]负压表 "
X1.8,"[贴钢片]漫反射传感器"
X1.9,"[贴钢片]上顶气缸RST"
X1.10,"[贴钢片]负压表"
X1.11,"[再压合]漫反射传感器"
X1.12,"[再压合]上顶气缸RST"
X1.13,"[再压合]负压表"
X1.14,"[检测钢片]漫反射传感器"
X1.15,"[检测钢片]上顶气缸RST"
X2.0,"[检测钢片]负压表"
X2.1,"[打记号模组]漫反射传感器"
X2.2,"[打记号模组]上顶气缸RST"
X2.3,"[打记号模组]负压表"
X2.4,"[打记号模组]下压气缸SET "
X2.5,"[打记号模组]下压气缸RST"
X2.6,"[推出气缸]无杆气缸SET"
X2.7,"[推出气缸]无杆气缸RST"
X2.8,"[PCB下料]无杆气缸SET"
X2.9,"[PCB下料]无杆气缸RST"
X2.10,"[PCB下料]光纤"
X2.11,"[PCB下料]漫反射传感器 "
X2.12,"[PCB下料]笼子接近开关1"
X2.13,"[PCB下料]笼子接近开关2"
X2.14,"[膜上料]无杆气缸SET"
X2.15,"[膜上料]无杆气缸RST"
X3.0,"[膜上料]推入到位接近开关1"
X3.1,"[膜上料]推入到位接近开关2"
X3.2,"[膜上料]光纤1"
X3.3,"[膜上料]光纤2"
X3.4,"[膜上料]漫反射传感器1"
X3.5,"[膜上料] "
X3.6,"[钢片上料]无杆气缸SET"
X3.7,"[钢片上料]无杆气缸RST"
X3.8,"[钢片上料]气缸RST"
X3.9,"[钢片上料]光纤1"
X3.10,"[钢片上料]光纤2"
X3.11,"[钢片上料]漫反射传感器1"
X3.12,"[钢片上料]漫反射传感器1"
X3.13,"[钢片上料]负压表"
X3.14,"[机壳]前门1 "
X3.15,"[机壳]前门2"
X4.0,"[机壳]左门1"
X4.1,"[机壳]左门2"
X4.2,"[机壳]后门1"
X4.3,"[机壳]后门2"
X4.4,"[机壳]右门1"
X4.5,"[机壳]右门2"
X4.6,"[机壳]急停按钮 "
X4.7,"[机壳]启动按钮"
X4.8,"[机壳]停止按钮"
X4.9,"[机壳]复位按钮"
X4.11," "
X4.12," "
X4.13," "
X4.14," "
X4.15," "
